Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
忠明,02-Feb-19,0.34,0.26,0.04,0.13,8.62,5.01,6.68,1.44,8.05,1.16,40,0.069351,0.117986,0.344242,0.047227,0.303822,0.093224,0.001184,0.003988,0.007881,0.009382,0.000081,0.002050,0.006275,0.040486,0.000552,0.000523,0.002991,0.001988,0.000068,0.011548,0.007327,0.003531,0.002638,0.000025,0.000973,0.000696,0.000311,0.000704,0.000043,0.000222,0.000073,0.000131,0.000007,0.000049,0.000006,0.000001,0.000009,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000056,0.000009
板橋,02-Feb-19,0.27,0.18,0.04,0.12,6.66,3.96,4.85,0.76,9.93,1.43,34,0.069132,0.107354,0.302398,0.043977,0.242835,0.066672,0.001424,0.004477,0.007430,0.005344,0.000082,0.002177,0.006108,0.018682,0.000476,0.000329,0.002287,0.001358,0.000071,0.008952,0.009123,0.002363,0.001218,0.000025,0.000732,0.000582,0.000150,0.000646,0.000047,0.000227,0.000117,0.000131,0.000007,0.000048,0.000005,0.000002,0.000010,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000016,0.000009
花蓮,27-Jan-19,0.14,0.06,0.01,0.09,1.61,0.52,0.87,0.02,2.63,0.18,8,0.028143,0.028927,0.199556,0.030185,0.097280,0.092651,0.001042,0.001536,0.003266,0.001231,0.000025,0.000440,0.001637,0.006877,0.000209,0.000155,0.000313,0.000265,0.000125,0.003162,0.001217,0.000499,0.000558,0.000026,0.000380,0.000189,0.000026,0.000248,0.000015,0.000079,0.000028,0.000044,0.000002,0.000015,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000002,0.000003
小港,27-Jan-19,0.58,0.39,0.07,0.24,5.09,3.81,6.45,0.81,9.24,1.10,36,0.217689,0.328644,1.131280,0.170615,0.706005,0.250025,0.003339,0.007672,0.020574,0.018061,0.000302,0.004144,0.010528,0.066349,0.003191,0.000626,0.007961,0.003112,0.000111,0.019109,0.004099,0.006836,0.001251,0.000069,0.001875,0.000978,0.000248,0.001650,0.000121,0.000466,0.000163,0.000248,0.000017,0.000105,0.000015,0.000004,0.000019,0.000002,0.000011,0.000002,0.000007,0.000001,0.000007,0.000001,0.000017,0.000017
嘉義,27-Jan-19,0.58,0.34,0.05,0.10,3.10,1.44,3.70,0.97,6.81,0.41,25,0.084335,0.121545,0.720597,0.091560,0.444632,0.117702,0.001202,0.011161,0.008133,0.007268,0.000088,0.001273,0.004586,0.028847,0.000530,0.000259,0.001364,0.000992,0.000040,0.011414,0.003297,0.001499,0.000586,0.000031,0.001230,0.000439,0.000138,0.000778,0.000031,0.000441,0.000067,0.000108,0.000007,0.000043,0.000007,0.000002,0.000008,0.000001,0.000005,0.000001,0.000003,0.000000,0.000003,0.000000,0.000016,0.000006
斗六,27-Jan-19,0.48,0.32,0.04,0.14,2.77,1.25,2.84,0.70,8.79,0.71,23,0.057706,0.106649,0.695812,0.085734,0.451000,0.059608,0.000830,0.002381,0.006817,0.006752,0.000101,0.002028,0.004963,0.031920,0.000438,0.000321,0.001066,0.000867,0.000031,0.006994,0.002541,0.004315,0.000474,0.000020,0.000877,0.000349,0.000109,0.000623,0.000026,0.000150,0.000052,0.000079,0.000006,0.000033,0.000005,0.000001,0.000006,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000014,0.000005
忠明,27-Jan-19,0.41,0.17,0.04,0.08,2.36,0.79,1.26,0.22,3.71,0.08,14,0.059581,0.110814,0.596657,0.075268,0.295571,0.094207,0.001197,0.002703,0.006723,0.010918,0.000063,0.001208,0.005278,0.038734,0.000458,0.000232,0.001752,0.001072,0.000027,0.007586,0.002631,0.001637,0.000484,0.000019,0.000323,0.000523,0.000160,0.000531,0.000021,0.000162,0.000042,0.000067,0.000004,0.000026,0.000004,0.000001,0.000005,0.000000,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000,0.000031,0.000004
板橋,27-Jan-19,0.40,0.08,0.04,0.08,2.19,0.62,0.41,0.23,2.42,0.00,10,0.013744,0.032862,0.328848,0.039733,0.052573,0.021432,0.000387,0.001155,0.001442,0.001866,0.000015,0.000323,0.001825,0.003725,0.000161,0.000028,0.000293,0.000144,0.000009,0.000917,0.002578,0.000192,0.000135,0.000004,0.000160,0.000150,0.000021,0.000100,0.000005,0.000052,0.000014,0.000023,0.000001,0.000009,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000001
花蓮,24-Jan-19,0.17,0.15,0.02,0.11,5.70,2.94,1.62,0.26,5.51,0.73,23,0.075003,0.129211,0.209549,0.041851,0.302948,0.124106,0.001138,0.002252,0.007749,0.009524,0.000091,0.001404,0.004271,0.020571,0.000536,0.000364,0.001115,0.001356,0.000257,0.010750,0.003990,0.002010,0.001832,0.000028,0.001149,0.000305,0.000130,0.000865,0.000067,0.000234,0.000074,0.000113,0.000006,0.000043,0.000006,0.000001,0.000008,0.000001,0.000004,0.000001,0.000003,0.000000,0.000002,0.000000,0.000004,0.000009
小港,24-Jan-19,0.39,0.36,0.04,0.18,6.61,5.97,13.59,0.96,8.94,1.89,56,0.391676,0.598578,0.665966,0.165938,0.857137,0.409393,0.003642,0.022553,0.031356,0.044713,0.000637,0.008920,0.017357,0.142741,0.006554,0.000984,0.006676,0.002403,0.000242,0.034497,0.006157,0.015639,0.002653,0.000337,0.002181,0.001622,0.000328,0.002155,0.000297,0.001159,0.000440,0.000462,0.000032,0.000192,0.000027,0.000008,0.000038,0.000003,0.000018,0.000004,0.000012,0.000001,0.000011,0.000001,0.000024,0.000024
嘉義,24-Jan-19,0.34,0.56,0.03,0.12,6.78,6.39,14.96,1.88,12.98,1.70,57,0.070033,0.125686,0.408635,0.053867,0.646128,0.053534,0.000995,0.023745,0.008477,0.020401,0.000242,0.003775,0.010298,0.058618,0.000916,0.000613,0.001519,0.001683,0.000177,0.019356,0.003939,0.003255,0.001775,0.000028,0.002043,0.000533,0.000241,0.001579,0.000089,0.000915,0.000077,0.000102,0.000008,0.000045,0.000009,0.000003,0.000008,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000010,0.000013
斗六,24-Jan-19,0.30,0.48,0.02,0.15,6.14,5.64,11.67,1.21,13.70,2.19,53,0.220685,0.446707,0.462755,0.088410,0.858751,0.167252,0.002013,0.012028,0.020702,0.028727,0.000352,0.006287,0.015800,0.092875,0.001759,0.000928,0.004196,0.002978,0.000268,0.028329,0.005789,0.011803,0.002463,0.000074,0.003273,0.001198,0.000326,0.002060,0.000142,0.000709,0.000204,0.000281,0.000018,0.000113,0.000015,0.000004,0.000021,0.000002,0.000010,0.000002,0.000007,0.000001,0.000007,0.000001,0.000025,0.000017
忠明,24-Jan-19,0.26,0.31,0.03,0.12,5.66,4.01,5.28,0.56,9.21,1.71,35,0.228053,0.468637,0.487007,0.110051,0.763062,0.235508,0.002675,0.010277,0.025236,0.042388,0.000294,0.004703,0.018386,0.067558,0.002057,0.000985,0.005370,0.002357,0.000245,0.031392,0.005638,0.008014,0.002704,0.000094,0.001612,0.002539,0.000350,0.002011,0.000124,0.000854,0.000249,0.000352,0.000022,0.000139,0.000018,0.000004,0.000025,0.000002,0.000012,0.000002,0.000009,0.000001,0.000009,0.000001,0.000067,0.000019
板橋,24-Jan-19,0.15,0.21,0.01,0.07,5.55,3.32,2.84,0.33,5.93,0.86,28,0.199796,0.350660,0.296755,0.080993,0.621765,0.214853,0.002546,0.007499,0.017374,0.024761,0.000169,0.003033,0.009208,0.053458,0.001056,0.000773,0.003130,0.001655,0.000259,0.025937,0.006117,0.005069,0.002489,0.000072,0.001627,0.000864,0.000188,0.001749,0.000135,0.000607,0.000197,0.000291,0.000018,0.000114,0.000014,0.000003,0.000021,0.000002,0.000009,0.000002,0.000007,0.000001,0.000006,0.000001,0.000010,0.000017
