Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
忠明,27-Mar-18,0.28,0.01,0.08,0.10,9.90,4.92,3.78,0.40,5.65,1.41,36,0.248479,0.243143,0.221543,0.093648,0.224777,0.108059,0.001479,0.002806,0.015548,0.017030,0.000126,0.004398,0.005855,0.034611,0.000816,0.000328,0.002814,0.001294,0.000180,0.013341,0.009219,0.003612,0.001180,0.000070,0.000862,0.000856,0.000135,0.000908,0.000080,0.000282,0.000182,0.000224,0.000015,0.000092,0.000015,0.000003,0.000014,0.000003,0.000009,0.000003,0.000005,0.000000,0.000006,0.000001,0.000065,0.000019
板橋,27-Mar-18,0.29,0.04,0.05,0.12,7.15,2.16,1.13,0.25,4.09,1.06,26,0.321693,0.316838,0.305739,0.149960,0.224287,0.217611,0.002576,0.006769,0.022300,0.012361,0.000147,0.004135,0.008736,0.027647,0.000725,0.000712,0.003669,0.001696,0.000213,0.014764,0.006184,0.003119,0.001230,0.000109,0.000817,0.001425,0.000113,0.001020,0.000103,0.000523,0.000296,0.000394,0.000028,0.000167,0.000022,0.000005,0.000026,0.000005,0.000015,0.000006,0.000011,0.000001,0.000011,0.000001,0.000069,0.000028
花蓮,21-Mar-18,0.18,0.01,0.05,0.07,1.82,0.85,0.60,0.29,2.48,0.57,10,0.201694,0.222513,0.242599,0.050121,0.082506,0.343342,0.002171,0.060469,0.032774,0.003841,0.000401,0.002922,0.004161,0.016418,0.000273,0.000107,0.000536,0.000357,0.000059,0.005488,0.001785,0.014680,0.000264,0.000021,0.000332,0.000441,0.000044,0.000555,0.000028,0.002407,0.000065,0.000090,0.000007,0.000037,0.000011,0.000007,0.000007,0.000002,0.000004,0.000001,0.000002,0.000000,0.000001,0.000000,0.000024,0.000006
小港,21-Mar-18,0.13,0.01,0.01,0.07,3.18,2.24,4.86,0.28,5.46,0.99,21,0.052833,0.140401,0.167829,0.020500,0.129318,0.029162,0.000389,0.003766,0.005599,0.011296,0.000177,0.004263,0.006738,0.069074,0.001465,0.000274,0.002747,0.000863,0.000072,0.015952,0.003013,0.014444,0.000628,0.000018,0.000860,0.000268,0.000098,0.000357,0.000022,0.000231,0.000047,0.000060,0.000003,0.000023,0.000003,0.000001,0.000004,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000005
嘉義,21-Mar-18,0.09,0.03,0.01,0.05,2.51,1.72,3.20,0.24,3.26,0.58,15,0.026655,0.069913,0.101079,0.008753,0.056368,0.012530,0.000376,0.006753,0.004037,0.006418,0.000110,0.002171,0.005773,0.026226,0.000456,0.000214,0.002492,0.000895,0.000059,0.020747,0.002474,0.003484,0.000543,0.000006,0.000500,0.000350,0.000084,0.000293,0.000018,0.000336,0.000024,0.000042,0.000002,0.000013,0.000002,0.000001,0.000002,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000024,0.000004
斗六,21-Mar-18,0.08,0.01,0.01,0.08,2.45,1.59,2.76,0.25,3.69,0.62,15,0.094707,0.063448,0.075509,0.008017,0.089713,0.035938,0.000411,0.002549,0.004378,0.005692,0.000286,0.002970,0.005440,0.022237,0.000486,0.000179,0.002141,0.000704,0.000052,0.007522,0.002691,0.005159,0.000435,0.000006,0.000684,0.000255,0.000110,0.000204,0.000015,0.000168,0.000024,0.000032,0.000002,0.000011,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000024,0.000004
忠明,21-Mar-18,0.10,0.03,0.02,0.07,2.52,1.29,1.10,0.18,2.99,0.66,12,0.022714,0.106336,0.108442,0.012044,0.051395,0.025173,0.000236,0.001062,0.004542,0.008279,0.000208,0.009155,0.005715,0.026426,0.001913,0.000190,0.002473,0.000722,0.000050,0.007475,0.002395,0.019401,0.000407,0.000006,0.000532,0.000322,0.000108,0.000199,0.000013,0.000086,0.000027,0.000032,0.000002,0.000013,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000061,0.000003
板橋,21-Mar-18,0.13,0.03,0.01,0.04,2.01,1.05,0.78,0.18,2.96,0.35,11,0.026920,0.077053,0.153758,0.019938,0.056876,0.042222,0.000351,0.003795,0.004694,0.006986,0.000074,0.001758,0.003871,0.018670,0.000517,0.000285,0.000980,0.000789,0.000084,0.006655,0.002910,0.002859,0.000648,0.000010,0.000459,0.000317,0.000079,0.000245,0.000021,0.000227,0.000041,0.000058,0.000003,0.000019,0.000001,0.000001,0.000003,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000004
花蓮,15-Mar-18,0.18,0.03,0.01,0.07,1.80,0.65,0.26,0.17,2.87,0.60,10,0.046609,0.030897,0.166918,0.020000,0.100269,0.084309,0.000446,0.000630,0.003236,0.001152,0.000308,0.000677,0.001434,0.006385,0.000071,0.000047,0.000242,0.000147,0.000010,0.001624,0.001545,0.002612,0.000250,0.000008,0.000066,0.000107,0.000055,0.000137,0.000005,0.000041,0.000023,0.000039,0.000003,0.000016,0.000002,0.000001,0.000003,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000000,0.000024,0.000001
小港,15-Mar-18,0.19,0.01,0.11,0.09,6.75,5.24,11.93,0.40,8.38,2.07,45,0.082813,0.185077,0.180068,0.031264,0.343457,0.072508,0.000874,0.005036,0.009508,0.017280,0.000315,0.011406,0.011158,0.105071,0.002455,0.000409,0.004077,0.001225,0.000095,0.022286,0.015275,0.009385,0.000840,0.000024,0.000985,0.000808,0.000174,0.000885,0.000073,0.000323,0.000098,0.000086,0.000005,0.000038,0.000004,0.000001,0.000006,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000009
嘉義,15-Mar-18,0.14,0.01,0.29,0.07,5.46,5.12,12.57,0.44,7.00,1.34,43,0.134839,0.173663,0.169941,0.023193,0.293289,0.053268,0.000633,0.008763,0.009679,0.015322,0.000204,0.006670,0.006878,0.050113,0.001309,0.000282,0.002375,0.001036,0.000079,0.016096,0.010109,0.003753,0.001080,0.000024,0.000652,0.000799,0.000143,0.000670,0.000043,0.000481,0.000115,0.000119,0.000008,0.000045,0.000006,0.000002,0.000006,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000009
斗六,15-Mar-18,0.13,0.01,0.10,0.08,5.24,4.79,12.07,0.57,8.46,1.56,44,0.124744,0.186152,0.221928,0.031483,0.474888,0.058495,0.000503,0.002378,0.009531,0.013006,0.000300,0.009363,0.009494,0.077081,0.001306,0.000349,0.003135,0.002822,0.000099,0.010823,0.012609,0.005212,0.001257,0.000019,0.000664,0.000527,0.000146,0.000897,0.000052,0.000237,0.000071,0.000069,0.000005,0.000031,0.000004,0.000001,0.000005,0.000001,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000024,0.000008
忠明,15-Mar-18,0.15,0.01,0.06,0.07,5.41,4.49,9.31,0.43,9.32,2.14,43,0.179353,0.428045,0.168963,0.054077,0.328979,0.117037,0.001078,0.008182,0.018208,0.039174,0.000355,0.010978,0.016123,0.103287,0.001679,0.000572,0.005986,0.002196,0.000124,0.019969,0.016772,0.006462,0.001654,0.000063,0.001007,0.002062,0.000333,0.000873,0.000065,0.000550,0.000214,0.000234,0.000012,0.000087,0.000010,0.000002,0.000013,0.000002,0.000008,0.000003,0.000005,0.000000,0.000006,0.000001,0.000442,0.000011
板橋,15-Mar-18,0.17,0.01,0.04,0.09,4.69,3.16,4.09,0.24,6.79,1.36,27,0.128321,0.189806,0.179164,0.046755,0.148132,0.144580,0.000995,0.004991,0.010985,0.013691,0.000298,0.005886,0.010477,0.063759,0.000895,0.000325,0.003023,0.002092,0.000150,0.011045,0.008972,0.004368,0.001270,0.000040,0.000646,0.001142,0.000126,0.000553,0.000071,0.000343,0.000235,0.000178,0.000009,0.000068,0.000007,0.000002,0.000009,0.000002,0.000005,0.000002,0.000004,0.000000,0.000003,0.000000,0.000024,0.000007
花蓮,09-Mar-18,0.23,0.01,0.11,0.07,6.67,3.11,2.10,0.40,3.13,0.56,22,0.066344,0.078938,0.189511,0.048853,0.108119,0.047464,0.000572,0.000107,0.004840,0.005225,0.000062,0.001087,0.002206,0.015653,0.000315,0.000146,0.000598,0.000391,0.000156,0.006981,0.002377,0.003165,0.000649,0.000018,0.000604,0.000107,0.000116,0.000434,0.000047,0.000004,0.000065,0.000086,0.000005,0.000031,0.000004,0.000000,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000006
小港,09-Mar-18,0.15,0.01,0.09,0.08,6.01,6.54,11.41,0.54,6.32,1.64,41,0.246704,0.361478,0.268164,0.092656,0.292067,0.128169,0.001264,0.002153,0.017248,0.035026,0.000509,0.012974,0.013072,0.116452,0.004121,0.000413,0.003245,0.001220,0.000180,0.024640,0.012259,0.023728,0.001009,0.000050,0.001276,0.000816,0.000229,0.001056,0.000102,0.000353,0.000188,0.000228,0.000016,0.000091,0.000011,0.000002,0.000014,0.000002,0.000008,0.000003,0.000005,0.000000,0.000004,0.000001,0.000061,0.000015
嘉義,09-Mar-18,0.23,0.01,0.09,0.08,6.98,4.17,6.69,0.56,4.81,0.91,35,0.226893,0.285258,0.324422,0.074532,0.365231,0.090859,0.001175,0.018426,0.015181,0.020454,0.000336,0.009665,0.008383,0.063459,0.000927,0.000377,0.002313,0.001425,0.000219,0.017441,0.003139,0.018720,0.001238,0.000033,0.000965,0.000939,0.000185,0.001242,0.000103,0.001018,0.000127,0.000237,0.000012,0.000085,0.000011,0.000004,0.000011,0.000002,0.000006,0.000002,0.000004,0.000000,0.000004,0.000000,0.000072,0.000015
斗六,09-Mar-18,0.17,0.01,0.09,0.06,6.61,3.95,5.31,0.36,5.49,0.96,33,0.178384,0.204627,0.244552,0.078754,0.266733,0.071589,0.001071,0.000107,0.011398,0.016574,0.000237,0.004797,0.007273,0.050595,0.000793,0.000290,0.001327,0.001030,0.000183,0.014731,0.002947,0.006476,0.001026,0.000037,0.000828,0.000826,0.000174,0.000887,0.000088,0.000177,0.000127,0.000176,0.000012,0.000074,0.000009,0.000002,0.000011,0.000002,0.000006,0.000002,0.000004,0.000000,0.000004,0.000000,0.000079,0.000013
忠明,09-Mar-18,0.20,0.01,0.06,0.08,8.43,3.97,2.76,0.31,3.96,0.70,30,0.241048,0.291972,0.316758,0.112724,0.307477,0.132304,0.001546,0.000107,0.014926,0.024468,0.000193,0.003136,0.007360,0.075695,0.000908,0.000388,0.001828,0.001045,0.000235,0.022366,0.003153,0.006286,0.001329,0.000059,0.001016,0.001287,0.000284,0.001074,0.000117,0.000292,0.000192,0.000255,0.000019,0.000109,0.000013,0.000002,0.000015,0.000003,0.000010,0.000003,0.000006,0.000000,0.000007,0.000001,0.000308,0.000016
板橋,09-Mar-18,0.29,0.02,0.11,0.05,8.38,4.07,3.06,0.16,4.99,0.64,30,0.083146,0.126330,0.251816,0.060307,0.160214,0.042434,0.000694,0.000107,0.006708,0.008271,0.000091,0.001656,0.004248,0.029498,0.000510,0.000230,0.000915,0.000630,0.000154,0.009707,0.003052,0.003146,0.000888,0.000019,0.000874,0.000107,0.000123,0.000615,0.000070,0.000053,0.000072,0.000107,0.000006,0.000039,0.000005,0.000001,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000009
花蓮,03-Mar-18,0.23,0.02,0.07,0.12,5.77,1.44,0.45,0.02,3.17,0.59,19,0.077652,0.070184,0.328658,0.080090,0.214544,0.079861,0.001749,0.003025,0.004495,0.003769,0.000221,0.003234,0.004222,0.016696,0.000240,0.000152,0.001060,0.000554,0.000144,0.008977,0.007799,0.001126,0.000622,0.000019,0.000565,0.000216,0.000042,0.000476,0.000037,0.000197,0.000107,0.000080,0.000004,0.000029,0.000005,0.000001,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000001,0.000000,0.000024,0.000004
小港,03-Mar-18,0.31,0.16,0.08,0.07,4.67,1.85,1.96,0.58,5.83,0.88,24,0.102062,0.138670,0.268843,0.068961,0.241697,0.044170,0.002400,0.004319,0.001460,0.013262,0.000152,0.008398,0.008704,0.078926,0.000895,0.000258,0.002666,0.000658,0.000092,0.018550,0.018142,0.008032,0.000286,0.000013,0.000639,0.000107,0.000055,0.000398,0.000030,0.000248,0.000095,0.000066,0.000004,0.000021,0.000002,0.000001,0.000004,0.000000,0.000002,0.000001,0.000001,0.000000,0.000001,0.000000,0.000024,0.000003
嘉義,03-Mar-18,0.36,0.37,0.21,0.08,9.26,3.12,14.07,1.94,9.28,3.08,51,0.317442,0.268371,0.459400,0.197669,1.901577,0.103848,0.016668,0.064044,0.013726,0.018814,0.000327,0.009033,0.033768,0.085532,0.001458,0.000567,0.004013,0.001790,0.000198,0.044218,0.014705,0.006607,0.001708,0.000037,0.001587,0.000827,0.000186,0.001382,0.000098,0.002868,0.000163,0.000190,0.000010,0.000071,0.000017,0.000007,0.000011,0.000002,0.000006,0.000002,0.000004,0.000000,0.000004,0.000000,0.000024,0.000011
斗六,03-Mar-18,0.30,0.03,0.10,0.07,9.18,7.31,12.65,1.66,9.68,1.56,53,0.290241,0.249919,0.426748,0.135321,0.809689,0.083525,0.004654,0.009498,0.011761,0.015526,0.000353,0.010146,0.017021,0.097201,0.001042,0.000537,0.003831,0.002387,0.000178,0.024248,0.014890,0.005176,0.001611,0.000031,0.001304,0.000625,0.000184,0.001201,0.000095,0.000606,0.000139,0.000131,0.000008,0.000053,0.000008,0.000003,0.000008,0.000002,0.000005,0.000002,0.000003,0.000000,0.000003,0.000000,0.000024,0.000011
忠明,03-Mar-18,0.27,0.03,0.08,0.09,9.57,7.81,12.54,2.63,6.45,3.44,55,0.219955,0.403076,0.372095,0.112130,0.629176,0.103712,0.006769,0.018320,0.024990,0.024908,0.000472,0.014585,0.019507,0.096289,0.001260,0.000696,0.005250,0.002361,0.000189,0.038072,0.015418,0.017642,0.001726,0.000047,0.001467,0.001542,0.000197,0.001026,0.000082,0.001012,0.000301,0.000227,0.000011,0.000079,0.000011,0.000004,0.000013,0.000002,0.000006,0.000002,0.000004,0.000000,0.000005,0.000001,0.000138,0.000011
板橋,03-Mar-18,0.29,0.04,0.34,0.06,14.63,11.06,19.19,1.79,12.46,2.25,82,0.281814,0.368921,0.463223,0.139029,0.724696,0.126794,0.009848,0.022414,0.021233,0.025374,0.000458,0.017784,0.047273,0.177688,0.001945,0.000934,0.011220,0.003966,0.000356,0.056647,0.033739,0.007035,0.002610,0.000080,0.002137,0.002176,0.000285,0.001493,0.000144,0.001329,0.000672,0.000396,0.000013,0.000122,0.000012,0.000005,0.000017,0.000003,0.000009,0.000003,0.000005,0.000000,0.000006,0.000001,0.000109,0.000017
花蓮,25-Feb-18,0.14,0.03,0.03,0.06,1.33,0.61,0.31,0.19,1.40,0.45,7,0.012502,0.008376,0.085258,0.020257,0.042861,0.012545,0.000255,0.000107,0.000255,0.000428,0.000039,0.000235,0.000392,0.001939,0.000101,0.000069,0.000498,0.000439,0.000020,0.002391,0.002542,0.001126,0.000176,0.000004,0.000236,0.000107,0.000064,0.000064,0.000006,0.000004,0.000009,0.000013,0.000001,0.000040,0.000001,0.000000,0.000002,0.000001,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000024,0.000001
小港,25-Feb-18,0.27,0.01,0.14,0.07,5.82,5.41,12.97,0.89,8.05,1.32,45,0.076875,0.083669,0.146711,0.031899,0.172879,0.028149,0.000788,0.001494,0.003707,0.005000,0.000097,0.003296,0.004578,0.040419,0.000903,0.000212,0.003219,0.000714,0.000054,0.008749,0.007730,0.010652,0.000789,0.000013,0.000892,0.000455,0.000189,0.000375,0.000028,0.000122,0.000042,0.000053,0.000003,0.000024,0.000002,0.000001,0.000003,0.000001,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000024,0.000004
嘉義,25-Feb-18,0.19,0.03,0.12,0.04,6.19,7.31,14.02,0.88,5.75,1.11,48,0.097779,0.142730,0.250171,0.054361,0.399426,0.036475,0.002185,0.004140,0.006133,0.010132,0.000155,0.004916,0.012177,0.066297,0.000976,0.000528,0.004391,0.001301,0.000152,0.024470,0.011075,0.003950,0.001407,0.000035,0.001916,0.000431,0.000225,0.000737,0.000069,0.000292,0.000096,0.000117,0.000006,0.000043,0.000005,0.000002,0.000006,0.000002,0.000003,0.000002,0.000002,0.000000,0.000002,0.000000,0.000024,0.000008
斗六,25-Feb-18,0.21,0.01,0.12,0.04,6.01,4.89,10.95,1.00,7.16,1.16,43,0.179481,0.207319,0.285064,0.071550,0.505265,0.077520,0.003855,0.012115,0.008295,0.012837,0.000208,0.008296,0.018494,0.103113,0.001014,0.000932,0.008674,0.001832,0.000181,0.035709,0.013328,0.004985,0.001825,0.000055,0.001993,0.000822,0.000224,0.000916,0.000081,0.000675,0.000178,0.000156,0.000008,0.000059,0.000008,0.000003,0.000009,0.000002,0.000006,0.000002,0.000004,0.000000,0.000004,0.000001,0.000095,0.000009
忠明,25-Feb-18,0.18,0.01,0.09,0.05,6.83,4.43,7.14,0.63,6.25,1.17,37,0.104933,0.130816,0.297643,0.047711,0.465021,0.063688,0.002598,0.006664,0.004532,0.010879,0.001087,0.005486,0.019764,0.148757,0.000880,0.000486,0.007139,0.001660,0.000119,0.027857,0.011005,0.006435,0.001553,0.000033,0.001334,0.000957,0.000340,0.000636,0.000049,0.000433,0.000111,0.000110,0.000004,0.000036,0.000004,0.000002,0.000006,0.000002,0.000004,0.000001,0.000002,0.000000,0.000003,0.000000,0.000260,0.000007
板橋,25-Feb-18,0.22,0.03,0.09,0.08,4.56,3.26,3.88,0.36,3.64,0.78,25,0.038062,0.026718,0.161266,0.027519,0.130211,0.012542,0.001595,0.003372,0.004131,0.001653,0.000036,0.001940,0.004320,0.005989,0.000240,0.000080,0.000849,0.000365,0.000050,0.016860,0.011916,0.004721,0.000509,0.000008,0.000355,0.000107,0.000066,0.000221,0.000021,0.000174,0.000031,0.000048,0.000002,0.000017,0.000002,0.000001,0.000002,0.000001,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000024,0.000003
花蓮,19-Feb-18,0.24,0.48,0.02,0.03,3.53,1.28,0.80,0.39,2.88,0.41,14,0.028583,0.026606,0.173020,0.038307,0.246376,0.012548,0.003389,0.005279,0.002610,0.001192,0.000026,0.001881,0.007221,0.004582,0.000056,0.000125,0.001192,0.000441,0.000048,0.008131,0.002090,0.002899,0.000464,0.000003,0.000516,0.000107,0.000010,0.000269,0.000017,0.000221,0.000016,0.000026,0.000001,0.000010,0.000002,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000024,0.000002
小港,19-Feb-18,0.39,0.45,0.12,0.04,8.86,4.47,6.47,0.29,7.46,1.39,34,0.118202,0.147351,0.274031,0.068296,0.451250,0.061926,0.004821,0.012089,0.006040,0.006026,0.000163,0.007941,0.016429,0.027997,0.001553,0.000551,0.012789,0.000853,0.000082,0.066347,0.018319,0.005292,0.000978,0.000021,0.001040,0.000502,0.000094,0.000656,0.000045,0.000557,0.000143,0.000166,0.000006,0.000057,0.000007,0.000002,0.000008,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000024,0.000006
嘉義,19-Feb-18,0.38,0.74,0.04,0.04,6.43,4.06,6.82,0.69,7.36,1.25,36,0.154812,0.120036,0.288135,0.094790,0.741344,0.044092,0.006087,0.013780,0.007280,0.004518,0.000099,0.003498,0.025790,0.029520,0.000575,0.000387,0.002597,0.001644,0.000085,0.087111,0.007889,0.002576,0.001144,0.000026,0.000941,0.000640,0.000074,0.000815,0.000051,0.000634,0.000081,0.000133,0.000007,0.000052,0.000008,0.000003,0.000007,0.000002,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000024,0.000007
斗六,19-Feb-18,0.30,0.66,0.03,0.04,6.23,3.40,4.91,0.66,6.92,1.08,31,0.130089,0.097501,0.226184,0.071401,0.563167,0.043311,0.005333,0.009377,0.005483,0.004106,0.000096,0.003539,0.012929,0.025168,0.000385,0.000377,0.002398,0.001137,0.000076,0.020839,0.006692,0.001126,0.001078,0.000022,0.000986,0.000483,0.000075,0.000685,0.000051,0.000439,0.000064,0.000093,0.000005,0.000036,0.000006,0.000002,0.000006,0.000001,0.000003,0.000002,0.000002,0.000000,0.000003,0.000000,0.000024,0.000007
忠明,19-Feb-18,0.27,0.66,0.03,0.03,5.51,2.51,2.49,0.33,6.57,1.09,26,0.148897,0.134250,0.201598,0.074010,0.647996,0.042422,0.008111,0.016878,0.006139,0.004425,0.000090,0.003399,0.024553,0.019241,0.000542,0.000809,0.002641,0.001181,0.000072,0.065633,0.007267,0.003507,0.001162,0.000018,0.000642,0.001422,0.000195,0.000715,0.000039,0.000772,0.000063,0.000127,0.000005,0.000041,0.000007,0.000002,0.000006,0.000001,0.000002,0.000001,0.000001,0.000000,0.000003,0.000000,0.000164,0.000005
板橋,19-Feb-18,0.34,1.35,0.11,0.06,7.89,3.34,3.50,0.78,7.34,1.31,36,0.321320,0.224092,0.436328,0.279738,2.263399,0.115900,0.044924,0.084397,0.012606,0.010495,0.000302,0.009602,0.080922,0.047560,0.000844,0.000858,0.006573,0.003103,0.000163,0.202450,0.020927,0.005436,0.002345,0.000052,0.000961,0.001850,0.000133,0.001602,0.000086,0.003545,0.000315,0.000295,0.000009,0.000094,0.000022,0.000012,0.000012,0.000002,0.000006,0.000002,0.000004,0.000000,0.000004,0.000000,0.000093,0.000009
花蓮,13-Feb-18,0.18,0.28,0.01,0.06,4.43,2.04,1.22,0.13,3.30,0.97,19,0.326352,0.208670,0.144972,0.117829,0.278343,0.152925,0.002342,0.005040,0.017773,0.006361,0.000154,0.001776,0.002965,0.010803,0.000290,0.000286,0.000701,0.000794,0.000146,0.011427,0.003246,0.002436,0.001535,0.000095,0.000910,0.000631,0.000060,0.000903,0.000084,0.000386,0.000179,0.000290,0.000024,0.000131,0.000021,0.000004,0.000023,0.000002,0.000015,0.000003,0.000010,0.000001,0.000009,0.000001,0.000261,0.000021
小港,13-Feb-18,0.38,0.39,0.04,0.15,6.52,4.60,8.52,0.58,8.61,1.66,46,0.602185,0.601278,0.366869,0.257082,0.606536,0.328024,0.004186,0.012866,0.039966,0.025769,0.000766,0.010618,0.010533,0.098797,0.002405,0.000888,0.009369,0.002640,0.000262,0.036253,0.013706,0.011449,0.002051,0.000216,0.001682,0.001896,0.000207,0.002052,0.000193,0.000887,0.000456,0.000705,0.000055,0.000304,0.000047,0.000009,0.000049,0.000006,0.000034,0.000007,0.000025,0.000003,0.000021,0.000002,0.001061,0.000043
嘉義,13-Feb-18,0.36,0.45,0.05,0.12,5.68,4.03,7.04,0.66,6.81,1.28,41,0.789581,0.586594,0.471629,0.318888,0.765430,0.405734,0.005128,0.029031,0.018729,0.022487,0.000383,0.007348,0.009329,0.073579,0.000948,0.000820,0.003638,0.002733,0.000294,0.084978,0.009272,0.006200,0.002562,0.000216,0.001733,0.000878,0.000189,0.002371,0.000213,0.001574,0.000461,0.000753,0.000061,0.000336,0.000053,0.000013,0.000059,0.000006,0.000035,0.000007,0.000023,0.000003,0.000017,0.000002,0.000634,0.000042
斗六,13-Feb-18,0.34,0.37,0.04,0.13,6.18,4.34,8.81,0.68,7.24,1.55,43,0.708639,0.565281,0.394377,0.276527,0.725901,0.357891,0.004426,0.010774,0.043281,0.021475,0.000412,0.007641,0.009397,0.079974,0.000962,0.000896,0.003936,0.002926,0.000284,0.032271,0.008996,0.005995,0.002340,0.000229,0.001549,0.002090,0.000187,0.002236,0.000200,0.000807,0.000445,0.000715,0.000059,0.000321,0.000050,0.000010,0.000056,0.000007,0.000036,0.000008,0.000025,0.000003,0.000024,0.000003,0.001313,0.000047
忠明,13-Feb-18,0.32,0.31,0.03,0.10,5.34,3.07,4.12,0.41,7.09,1.63,33,0.666489,0.628626,0.434087,0.275672,0.633530,0.385076,0.004953,0.012313,0.041597,0.026982,0.000338,0.005819,0.011462,0.067437,0.000973,0.000831,0.004273,0.002662,0.000277,0.029921,0.007298,0.006232,0.002260,0.000230,0.001659,0.004264,0.000230,0.002081,0.000195,0.000924,0.000413,0.000730,0.000056,0.000325,0.000047,0.000011,0.000056,0.000006,0.000036,0.000007,0.000024,0.000004,0.000024,0.000003,0.004371,0.000048
板橋,13-Feb-18,0.24,0.20,0.03,0.10,4.70,1.94,1.13,0.35,4.52,0.91,22,0.252540,0.166421,0.141543,0.071214,0.251102,0.116574,0.001464,0.003831,0.013596,0.005031,0.000141,0.001660,0.002957,0.013061,0.000352,0.000210,0.000671,0.000606,0.000117,0.007844,0.003090,0.004354,0.001004,0.000053,0.000825,0.000730,0.000089,0.000732,0.000061,0.000294,0.000098,0.000192,0.000014,0.000080,0.000012,0.000003,0.000012,0.000002,0.000010,0.000002,0.000005,0.000001,0.000005,0.000001,0.000297,0.000016
花蓮,07-Feb-18,0.08,0.13,0.05,0.01,3.05,1.70,1.52,0.27,2.11,0.61,14,0.018739,0.034736,0.222555,0.010053,0.321446,0.045996,0.000229,0.002623,0.002116,0.001744,0.000035,0.000916,0.002661,0.014915,0.000213,0.000085,0.000420,0.000274,0.000043,0.004187,0.001285,0.001128,0.001073,0.000007,0.000387,0.000223,0.000041,0.000411,0.000018,0.000144,0.000020,0.000032,0.000001,0.000010,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000024,0.000002
小港,07-Feb-18,0.18,0.28,0.08,0.06,4.99,5.45,13.00,1.65,9.06,2.18,50,0.215077,0.389340,0.217516,0.069517,0.491078,0.217822,0.001744,0.010992,0.015101,0.032018,0.000813,0.011552,0.023153,0.171579,0.008527,0.001032,0.007274,0.005666,0.000268,0.052946,0.003417,0.015790,0.001960,0.000063,0.001722,0.001294,0.000258,0.001369,0.000139,0.000786,0.000220,0.000269,0.000016,0.000103,0.000012,0.000003,0.000016,0.000002,0.000008,0.000002,0.000006,0.000001,0.000006,0.000001,0.001178,0.000019
嘉義,07-Feb-18,0.17,0.36,0.01,0.05,6.30,5.62,13.73,2.28,10.65,2.37,53,0.158532,0.285212,0.165220,0.046045,0.551750,0.088900,0.000884,0.008861,0.011467,0.029909,0.000386,0.008078,0.016537,0.118833,0.001077,0.000858,0.002969,0.003743,0.000244,0.047565,0.002839,0.007069,0.002067,0.000037,0.000935,0.001232,0.000333,0.001391,0.000117,0.000665,0.000157,0.000172,0.000010,0.000065,0.000006,0.000002,0.000009,0.000001,0.000005,0.000001,0.000003,0.000000,0.000004,0.000000,0.001671,0.000016
斗六,07-Feb-18,0.15,0.25,0.04,0.05,5.89,5.10,11.52,1.49,8.31,2.16,46,0.091619,0.178473,0.138179,0.026293,0.276717,0.032138,0.000518,0.002038,0.007841,0.023943,0.000391,0.010061,0.014130,0.113797,0.001155,0.000542,0.001663,0.001840,0.000162,0.018226,0.002571,0.009872,0.001717,0.000019,0.001118,0.000825,0.000310,0.000855,0.000094,0.000314,0.000078,0.000097,0.000005,0.000032,0.000004,0.000001,0.000005,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.001527,0.000014
