鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段263巷9弄1~30號,12.28,商,,,1071123,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,133.17000000000002,3,2,1,有,有,15100000,113389,升降平面,0.0,0,含增建或未登記建物。;,RPTQMLLLLHOFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區康寧路一段156巷20弄1~30號,23.85,住,,,1080219,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670323,61.68,2,2,1,有,無,9500000,154021,,0.0,0,含增建或未登記建物。;,RPWQMLLLLHOFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷92弄1~30號,78.57,住,,,1080219,土地1建物1車位1,四層，五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830326,345.97,5,2,4,有,有,38600000,111570,坡道平面,0.0,0,含增建或未登記建物。;,RPVNMLMLLHOFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文德路210巷30弄1~30號,8.31,商,,,1080214,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,84.07,2,1,1,有,有,14500000,172475,坡道機械,20.67,0,內含獨立產權車位，未包含在棟數內。,RPQOMLMLLHOFFCA67CA
內湖區,房地(土地+建物),臺北市內湖區文德路66巷14弄1~30號,15.2,住,,,1080122,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060315,62.04,1,1,1,有,有,15200000,245003,,0.0,0,,RPPPMLMLLHOFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街151~180號,21.94,住,,,1080127,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841023,131.47,2,2,2,有,有,20000000,152126,坡道平面,0.0,0,含增建或未登記建物。;,RPQPMLMLLHOFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路61~90號,13.7,商,,,1080303,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961030,159.65,3,2,2,有,有,33500000,209834,坡道平面,34.12,0,,RPTQMLMLLHOFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段280巷69弄31~60號,59.99,住,,,1080219,土地2建物1車位2,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960125,216.82,3,2,2,有,有,32000000,147588,坡道平面,0.0,0,含增建或未登記建物。;,RPUNMLPLLHOFFCA28CA
中山區,房地(土地+建物),臺北市中山區錦州街331~360號,17.75,住,,,1080220,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790307,99.93,3,2,2,有,無,7380000,73852,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間的買賣。權利人有3人。,RPQNMLQLLHOFFCA97CA
中山區,房地(土地+建物),臺北市中山區林森北路91~120號,3.85,商,,,1080225,土地2建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700422,46.230000000000004,0,0,0,無,有,6300000,136275,,0.0,0,,RPTOMLQLLHOFFCA38CA
中山區,土地,榮星段五小段121~150地號,0.15,其他,,,1080220,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14167,0,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPQPMLRLLHOFFCA28CA
中山區,土地,北安段二小段151~180地號,0.15,其他,,,1080220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11630,0,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPRPMLRLLHOFFCA38CA
中山區,車位,臺北市中山區長春路163巷1~30號,3.25,商,,,1080306,土地0建物0車位1,地下四層,十二層,其他,見使用執照,鋼筋混凝土造,0831014,36.36,0,0,0,有,有,1500000,,坡道機械,36.36,1500000,單獨車位交易。;,RPQPMLSLLHOFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段181~210號,45.01,住,,,1080217,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051221,134.07999999999998,2,2,1,有,有,26380000,196748,坡道平面,32.89,0,含增建或未登記建物。;,RPVNMLSJMHOFFCA58CA
中山區,土地,長安段四小段1~30地號,29.11,商,,,1080214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8964648,307958,,0.0,0,建商與地主合建案。;,RPSOMLSJMHOFFCA38CA
中山區,土地,長安段四小段1~30地號,7.68,商,,,1080128,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2343132,305095,,0.0,0,建商與地主合建案。;,RPRQMLSJMHOFFCA48CA
中山區,土地,長安段四小段1~30地號,4.83,商,,,1080128,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1473516,305076,,0.0,0,建商與地主合建案。;,RPSQMLSJMHOFFCA58CA
中山區,土地,長安段四小段1~30地號,17.15,商,,,1080128,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5229774,304943,,0.0,0,建商與地主合建案。;,RPUQMLSJMHOFFCA78CA
